Title,Production,Certificate,Genre(s),Rating
SEAL Team,(2017– ),,"Action, Drama, War",7.5
Looking,(2014–2015),,"Comedy, Drama, Romance",8.2
Genius,(I) (2017– ),,"Biography, Drama, History",8.4
Thundercats,(1985–1989),,"Animation, Action, Adventure",7.9
Avrupa Yakasi,(2004–2009),,Comedy,8.5
The Drew Carey Show,(1995–2004),,"Comedy, Drama",6.8
The River,(2012),,"Action, Adventure, Drama",6.8
The Suite Life on Deck,(2008–2011),,"Action, Adventure, Comedy",6.3
No Ordinary Family,(2010–2011),,"Action, Comedy, Drama",6.9
Ófærð,(2015– ),18,"Crime, Drama, Mystery",8.1
Rookie Blue,(2010–2015),,"Crime, Drama",7.7
Family Ties,(1982–1989),,"Comedy, Family",7.2
The Pink Panther Show,(1969–2011),,"Animation, Comedy, Family",7.6
Smurfs,(1981–1989),,"Animation, Adventure, Comedy",7.2
Kidding,(2018–2020),,"Comedy, Drama",8.0
Graceland,(2013–2015),,"Action, Crime, Drama",7.7
Catastrophe,(2015–2019),,Comedy,8.2
Police Squad!,(1982),,"Comedy, Crime",8.4
Ned's Declassified School Survival Guide,(2004–2007),,"Comedy, Family",7.4
Robin Hood,(2006–2009),,"Action, Adventure, Comedy",7.5
Psycho-Pass,(2012– ),16,"Animation, Action, Crime",8.2
The Penguins of Madagascar,(2008–2015),,"Animation, Action, Adventure",7.6
Fresh Meat,(2011–2016),,"Comedy, Drama",7.9
The Ricky Gervais Show,(2010–2012),,"Animation, Comedy, Talk-Show",8.3
Medici,(2016–2019),18,"Biography, Drama, History",7.9
The Tick,(2016–2019),16,"Action, Adventure, Comedy",7.4
Mob Psycho 100,(2016– ),16,"Animation, Action, Comedy",8.5
"Two Guys, a Girl and a Pizza Place",(1998–2001),,"Comedy, Romance",7.4
Breathe,(2018– ),16+,"Drama, Thriller",8.3
Dirty John,(2018– ),16,"Crime, Drama",7.2
The Bugs Bunny/Looney Tunes Comedy Hour,(1985–1986),,"Animation, Family, Comedy",8.4
Ellen: The Ellen DeGeneres Show,(2003– ),,"Comedy, Talk-Show",6.9
Metalocalypse,(2006–2013),,"Animation, Comedy, Music",8.2
Danny Phantom,(2004–2007),,"Animation, Action, Adventure",7.1
Queer Eye,(2018– ),16,Reality-TV,8.5
RuPaul's Drag Race,(2009– ),,"Game-Show, Reality-TV",8.5
Girlboss,(2017),18,Comedy,7.0
Tru Calling,(2003–2005),,"Drama, Fantasy, Mystery",7.4
Body of Proof,(2011–2013),,"Comedy, Crime, Drama",7.1
In Treatment,(2008–2021),,Drama,8.3
My Mad Fat Diary,(2013–2015),,"Comedy, Drama, Romance",8.4
Pawn Stars,(2009– ),,Reality-TV,7.2
Içerde,(2016–2017),,"Action, Crime, Drama",8.0
"Walker, Texas Ranger",(1993–2001),,"Action, Adventure, Crime",5.5
Doctor Foster,(2015–2017),,Drama,7.7
Daybreak,(I) (2019),18+,"Action, Adventure, Comedy",6.7
Kingdom,(2014–2017),18,Drama,8.5
NCIS: New Orleans,(2014–2021),,"Crime, Drama, Mystery",6.8
Muhtesem Yüzyil,(2011–2014),,"Biography, Drama, History",6.7
Chicago Med,(2015– ),,Drama,7.5
Everything Sucks!,(2018),18,"Comedy, Drama",7.5
Northern Exposure,(1990–1995),,"Comedy, Drama",8.3
Shameless,(2004–2013),18,"Comedy, Crime, Drama",8.0
Sarabhai V/S Sarabhai,(2004–2017),12+,Comedy,8.8
Please Like Me,(2013–2016),16,"Comedy, Drama, Romance",8.5
Kardes Payi,(2014–2015),,"Comedy, Drama, Family",8.6
El Chapo,(2017– ),18,"Crime, Drama",7.8
Glitch,(2015–2019),18+,"Drama, Sci-Fi",7.3
How to Make It in America,(2010–2011),,"Comedy, Drama",7.9
Dynasty,(2017– ),13,Drama,7.3
Bull,(2016– ),,"Comedy, Crime, Drama",7.0
Norsemen,(2016–2020),18,Comedy,7.8
Alfred Hitchcock Presents,(1955–1962),,"Comedy, Crime, Drama",8.5
Breakout Kings,(2011–2012),,"Crime, Drama, Thriller",7.3
The Pretender,(1996–2000),,"Drama, Mystery, Sci-Fi",7.5
Tosh.0,(2009– ),,Comedy,7.3
Darkwing Duck,(1991–1992),,"Animation, Action, Adventure",7.6
Resurrection,(2014–2015),,"Drama, Fantasy",7.3
Death in Paradise,(2011– ),,"Comedy, Crime, Drama",7.8
A Young Doctor's Notebook & Other Stories,(2012–2013),,"Comedy, Drama",7.9
Tengen toppa gurren lagann,(2007–2008),,"Animation, Action, Adventure",8.3
The Finder,(2012),,"Comedy, Crime, Drama",7.7
Krypton,(2018–2019),,"Action, Adventure, Drama",6.9
Inuyasha,(2000–2004),16,"Animation, Action, Adventure",7.9
The New Batman Adventures,(1997–1999),,"Animation, Action, Adventure",8.5
Life's Too Short,(2011–2013),,Comedy,7.5
The Addams Family,(1964–1966),,"Comedy, Family, Horror",8.0
Spooks,(2002–2011),,"Action, Crime, Drama",8.2
Criminal: UK,(2019– ),16+,"Crime, Drama, Thriller",7.6
Gargoyles,(1994–1996),,"Animation, Action, Adventure",8.1
Pew News,(2018–2020),,"Comedy, News",9.0
ZeroZeroZero,(2019– ),18,"Crime, Drama, Thriller",8.2
Jimmy Kimmel Live!,(2003– ),,"Comedy, Music, Talk-Show",6.5
S.W.A.T.,(2017– ),,"Action, Adventure, Crime",7.0
Mirai nikki,(2011–2013),,"Animation, Action, Drama",7.6
Friday Night Dinner,(2011–2020),,Comedy,8.1
Believe,(2014),,"Drama, Fantasy, Sci-Fi",7.1
Vinland Saga,(2019),,"Animation, Action, Adventure",8.8
Grounded for Life,(2001–2005),,Comedy,7.4
Galavant,(2015–2016),,"Adventure, Comedy, Fantasy",8.1
Letterkenny,(2016– ),,Comedy,8.6
Mr Selfridge,(2013–2016),,Drama,7.7
Gypsy,(2017),18,"Drama, Thriller",6.9
Ramayan,(1987–1988),U,"Adventure, Drama, Family",9.1
Kenan & Kel,(1996–2000),,"Comedy, Family",7.8
Crashing,(2016),,Comedy,7.7
Keeping Up Appearances,(1990–1995),,Comedy,7.8
White Lines,(2020),18,"Crime, Drama, Mystery",6.6
The Big C,(2010–2013),,"Comedy, Drama",8.1
All in the Family,(1971–1979),,"Comedy, Drama",8.3
Highlander,(1992–1998),,"Action, Adventure, Fantasy",7.2
Versailles,(2015–2018),18,"Biography, Drama, History",7.9
The Mick,(2017–2018),,Comedy,7.8
The Angry Video Game Nerd,(2004– ),,"Comedy, Fantasy, Sci-Fi",8.5
Tales from the Loop,(2020– ),18+,"Drama, Sci-Fi",7.5
Perry Mason,(2020– ),18,"Crime, Drama",7.6
Young & Hungry,(2014–2018),,"Comedy, Drama, Romance",7.4
Battlestar Galactica,(1978–1979),,"Action, Adventure, Sci-Fi",7.2
Faking It,(2014–2016),,"Comedy, Drama, Romance",7.4
Superman,(1996–2000),,"Animation, Action, Adventure",8.1
Mars,(2016–2018),PG,"Adventure, Drama, Sci-Fi",7.5
Miss Fisher's Murder Mysteries,(2012–2015),16,"Crime, Drama, Mystery",8.3
Life Unexpected,(2010–2011),,Drama,7.5
Zoey 101,(2005–2008),,"Comedy, Drama, Family",6.1
Brickleberry,(2012–2015),,"Animation, Comedy",7.4
The Angry Beavers,(1997–2001),,"Animation, Comedy, Family",7.2
Undone,(2019– ),16+,"Animation, Drama, Fantasy",8.2
Electric Dreams,(2017– ),16,Sci-Fi,7.3
Paradise PD,(2018– ),18,"Animation, Action, Comedy",6.9
The Black Donnellys,(2007),,"Crime, Drama",8.1
Even Stevens,(2000–2003),,"Comedy, Family",7.6
Growing Pains,(1985–1992),,"Comedy, Family",6.6
Charmed,(2018– ),,"Drama, Fantasy",4.6
Treme,(2010–2013),,"Drama, Music",8.2
Chef's Table,(2015– ),16,Documentary,8.6
TaleSpin,(1990–1991),,"Animation, Action, Adventure",7.6
NewsRadio,(1995–1999),,"Comedy, Romance",7.9
The Amazing Race,(2001– ),,"Adventure, Family, Game-Show",7.6
UnREAL,(2015–2018),,Drama,7.8
The Young Ones,(1982–1984),,Comedy,8.2
Delhi Crime,(2019– ),16+,"Crime, Drama",8.5
I Dream of Jeannie,(1965–1970),,"Comedy, Family, Fantasy",7.4
The Stand,(2020–2021),16,"Adventure, Drama, Fantasy",5.5
Primeval,(2007–2011),,"Action, Adventure, Drama",7.3
Trollhunters,(2016–2018),16,"Animation, Action, Adventure",8.5
The Eric Andre Show,(2012– ),,Comedy,8.6
Are You Afraid of the Dark?,(1990–2000),,"Drama, Family, Fantasy",8.2
Ben 10,(2005–2008),All,"Animation, Action, Adventure",7.2
Reba,(2001–2007),,"Comedy, Drama",6.5
McMafia,(2018– ),13+,"Crime, Drama, Thriller",7.7
The Brink,(2015),,Comedy,7.8
Top Boy,(2011– ),18+,"Crime, Drama, Thriller",8.4
One Day at a Time,(2017–2020),,Comedy,8.2
Miranda,(2009–2015),,Comedy,8.2
Kurtlar Vadisi,(2003–2005),,"Action, Crime, Drama",7.5
Franklin & Bash,(2011–2014),,"Comedy, Crime, Drama",7.6
Harley Quinn,(2019– ),,"Animation, Action, Adventure",8.5
The Avengers: Earth's Mightiest Heroes,(2010–2012),PG,"Animation, Action, Family",8.3
Deadly Class,(2018–2019),18,"Action, Adventure, Comedy",7.6
The Chosen,(2017– ),,"Drama, History",9.7
The Wild Thornberrys,(1998–2004),,"Animation, Adventure, Comedy",6.7
The Twilight Zone,(2019– ),16,"Drama, Fantasy, Horror",5.8
Kalifat,(2020– ),18,"Drama, Thriller",8.2
Mahabharat,(1988–1990),12+,"Adventure, Drama, History",8.9
Prodigal Son,(2019– ),,"Crime, Drama, Mystery",7.7
Everwood,(2002–2006),,Drama,7.4
Girl Meets World,(2014–2017),,"Comedy, Drama, Family",7.2
Gilligan's Island,(1964–1967),,"Comedy, Family",7.3
For All Mankind,(2019– ),A,"Drama, Sci-Fi",7.7
Bonding,(2018– ),18,"Comedy, Drama",7.2
Jessie,(2011–2015),,"Comedy, Family",5.9
Insecure,(2016– ),18,"Comedy, Romance",7.9
Life in Pieces,(2015–2019),,Comedy,8.0
The Purge,(2018–2019),18,"Action, Drama, Horror",6.5
Wallander,(2008–2016),,"Crime, Drama, Mystery",7.9
Doc Martin,(2004– ),16,"Comedy, Drama, Romance",8.3
Late Show with David Letterman,(1993–2015),,"Comedy, Music, Talk-Show",6.9
Frequency,(2016–2017),,"Drama, Fantasy, Mystery",7.5
Step by Step,(1991–1998),,"Comedy, Family, Romance",6.5
StartUp,(2016–2018),18,"Crime, Thriller",8.0
Foyle's War,(2002–2015),,"Crime, Drama, Mystery",8.4
Yes Minister,(1980–1984),,Comedy,8.6
In the Flesh,(2013–2014),,"Drama, Horror",8.0
Secret Diary of a Call Girl,(2007–2011),,Drama,7.4
Video Game High School,(2012–2014),,"Action, Romance, Sci-Fi",7.6
Inside No. 9,(2014– ),,"Comedy, Drama, Horror",8.5
Legends,(2014–2015),,"Action, Crime, Drama",7.5
Mistresses,(I) (2013–2016),,"Drama, Romance, Thriller",7.1
Unforgotten,(2015– ),,"Crime, Drama, Mystery",8.2
H2O: Just Add Water,(2006–2010),7,"Drama, Family, Fantasy",7.2
The Munsters,(1964–1966),,"Comedy, Family, Fantasy",7.8
Ergo Proxy,(2006),18,"Animation, Action, Adventure",8.0
Absentia,(2017– ),16,"Crime, Drama, Mystery",7.3
"Midnight, Texas",(2017–2018),,"Drama, Fantasy, Mystery",7.4
Late Night with Jimmy Fallon,(2009–2014),,"Comedy, Music, Talk-Show",6.8
Bandish Bandits,(2020– ),16,"Drama, Romance",8.6
The Brady Bunch,(1969–1974),,"Comedy, Family",6.7
Whitney,(2011–2013),,Comedy,5.7
Real Time with Bill Maher,(2003– ),,"Comedy, News, Talk-Show",7.4
The Prisoner,(1967–1968),,"Drama, Mystery, Sci-Fi",8.4
Avenue 5,(2020– ),15+,"Comedy, Sci-Fi",6.5
What I Like About You,(2002–2006),,Comedy,6.6
Three's Company,(1976–1984),,Comedy,7.5
The Righteous Gemstones,(2019– ),,"Comedy, Drama",8.0
Andromeda,(2000–2005),,"Action, Adventure, Drama",6.6
Crossing Lines,(2013–2015),,"Action, Crime, Drama",7.3
The Andy Griffith Show,(1960–1968),,"Comedy, Family",8.3
Sa-rang-eui bul-sa-chak,(2019–2020),16,"Comedy, Romance",8.7
Troy: Fall of a City,(2018– ),,"Action, Adventure, Fantasy",3.8
Hot in Cleveland,(2010–2015),,Comedy,7.3
Arthur,(1996– ),,"Animation, Adventure, Comedy",7.3
Better Things,(2016– ),,"Comedy, Drama",7.8
Kureimoa,(2007),,"Animation, Action, Adventure",8.0
Black Lagoon,(2006),18,"Animation, Action, Adventure",8.0
Tin Star,(2017–2020),18,"Crime, Drama, Thriller",7.3
Britannia,(2017– ),,"Action, Drama, Fantasy",6.8
Dallas,(1978–1991),,"Drama, Romance",7.0
Shaun the Sheep,(2007–2020),,"Animation, Short, Comedy",8.2
Easy,(2016– ),18,Comedy,6.9
Las chicas del cable,(2017–2020),18,Drama,7.6
Sesame Street,(1969– ),,"Animation, Adventure, Comedy",8.1
Wonderfalls,(2004),,"Comedy, Drama, Fantasy",8.2
Mayans M.C.,(2018– ),15+,"Crime, Drama, Thriller",7.5
The Late Show with Stephen Colbert,(2015– ),,"Comedy, Talk-Show",7.2
The Crazy Ones,(2013–2014),,Comedy,7.1
V-Wars,(2019),18,"Drama, Horror, Sci-Fi",6.1
Siren,(2018–2020),,"Drama, Fantasy",7.0
Magic City,(2012–2013),,"Crime, Drama",7.6
Content Cop,(2015– ),,"Documentary, Comedy, Crime",8.9
Major Crimes,(2012–2018),,"Action, Crime, Drama",7.7
Goosebumps,(1995–1998),U,"Family, Fantasy, Horror",7.7
The Vicar of Dibley,(1994–2020),,Comedy,8.0
Evil,(2019– ),13,"Crime, Drama, Horror",7.6
Clerks,(2000–2001),R,"Animation, Comedy",7.4
We Bare Bears,(2014–2019),7,"Animation, Adventure, Comedy",7.9
Tiny Toon Adventures,(1990–1995),,"Animation, Short, Adventure",7.5
The Incredible Hulk,(1977–1982),,"Action, Adventure, Drama",7.0
The Glades,(2010–2013),,"Action, Crime, Drama",7.5
Outsourced,(2010–2011),,Comedy,7.5
The Midnight Gospel,(2020– ),16,"Animation, Adventure, Comedy",8.3
Mushishi,(2005–2006),,"Animation, Drama, Fantasy",8.5
Angel Beats!,(2010),U,"Animation, Action, Comedy",7.7
NYPD Blue,(1993–2005),,"Crime, Drama, Mystery",7.6
The Mask,(1995–1997),,"Animation, Action, Adventure",7.0
Marianne,(2019),15,"Drama, Horror",7.5
Becker,(1998–2004),,Comedy,7.2
Emerald City,(2016–2017),,"Adventure, Drama, Fantasy",7.2
Bottom,(1991–1995),,Comedy,8.2
Suburra - La serie,(2017–2020),18,"Action, Crime",7.9
Invasion,(2005–2006),,"Drama, Horror, Mystery",7.5
Selfie,(2014),,"Comedy, Romance",7.2
Sseulsseulhago Chalranhashin: Dokkaebi,(2016–2017),16,"Comedy, Drama, Fantasy",8.6
Chowder,(2007–2010),,"Animation, Short, Adventure",7.3
Breathe: Into the Shadows,(2020– ),16,"Drama, Thriller",7.6
Inside Amy Schumer,(2013–2016),,Comedy,6.0
Nightflyers,(2018),18,"Drama, Horror, Mystery",5.9
The New Adventures of Old Christine,(2006–2010),,Comedy,7.1
Jeeves and Wooster,(1990–1993),,Comedy,8.4
Sailor Moon,(1995–2000),,"Animation, Action, Adventure",7.6
Ask-i Memnu,(2008–2010),,"Drama, Romance",7.4
Second Chance,(I) (2016),,"Drama, Sci-Fi",7.5
Hello Ladies,(2013–2014),,Comedy,7.4
Taxi,(1978–1983),,Comedy,7.6
Homicide: Life on the Street,(1993–1999),,"Crime, Drama, Mystery",8.5
The Dukes of Hazzard,(1979–1985),,"Action, Comedy",7.1
The Voice,(2011– ),,"Game-Show, Music, Reality-TV",6.5
Shake It Up,(2010–2013),,"Comedy, Family",4.9
Degrassi: The Next Generation,(2001–2015),,"Drama, Romance",7.3
Yu yu hakusho,(1992–1995),U,"Animation, Action, Adventure",8.5
Who's the Boss?,(1984–1992),,"Comedy, Family, Romance",6.5
Patriot,(II) (2015–2018),18,"Comedy, Drama, Thriller",8.3
The Marvelous Misadventures of Flapjack,(2008–2010),,"Animation, Short, Adventure",7.8
The Returned,(2015),,"Drama, Fantasy, Horror",7.1
Dirty Sexy Money,(2007–2009),,Drama,7.2
Penn & Teller: Bullshit!,(2003–2010),,"Comedy, Documentary",8.1
The Outer Limits,(1995–2002),,"Drama, Fantasy, Horror",7.7
Quarry,(2016),,"Crime, Drama, Thriller",8.1
Slasher,(2016– ),,"Crime, Drama, Horror",6.7
Why Women Kill,(2019– ),16,"Comedy, Crime, Drama",8.4
Once Upon a Time in Wonderland,(2013–2014),,"Adventure, Drama, Fantasy",7.0
Masters of Horror,(2005–2007),,Horror,7.5
Stitchers,(2015–2017),,"Crime, Drama, Sci-Fi",6.9
Hinterland,(2013–2016),16,"Crime, Drama, Mystery",7.6
Whitechapel,(2009–2013),,"Crime, Mystery, Thriller",7.9
Early Edition,(1996–2000),,"Adventure, Comedy, Drama",7.5
"Sister, Sister",(1994–1999),,"Comedy, Drama, Family",6.2
Anazâ,(2012),18,"Animation, Drama, Horror",7.6
The Royals,(2015–2018),,Drama,7.5
Aquarius,(2015–2016),18,"Biography, Crime, Drama",7.1
Kitchen Nightmares,(2007–2014),,Reality-TV,7.5
Shetland,(2013– ),18,"Crime, Drama, Mystery",8.1
Haikyuu!!,(2014–2020),13,"Animation, Comedy, Drama",8.7
Six,(2017–2018),,"Action, Drama, History",7.3
Tokyo Ghoul: Root A,(2015),,"Animation, Action, Drama",7.7
Green Wing,(2004–2007),,"Comedy, Drama",8.3
Sôru îtâ,(2008–2009),,"Animation, Action, Adventure",7.8
Shark,(2006–2008),,"Crime, Drama, Mystery",7.1
Comedians in Cars Getting Coffee,(2012– ),,"Comedy, Talk-Show",8.1
Detectorists,(2014–2017),,Comedy,8.6
Melrose Place,(1992–1999),,"Drama, Romance",5.8
Noragami,(2014–2016),,"Animation, Action, Adventure",7.9
Kiru ra kiru: KILL la KILL,(2013–2014),,"Animation, Action, Comedy",7.9
I May Destroy You,(2020– ),18,Drama,8.1
Ao no ekusoshisuto,(2011–2012),,"Animation, Action, Drama",7.5
Darker Than Black: Kuro no keiyakusha,(2007–2010),,"Animation, Action, Drama",7.8
Get Smart,(1965–1970),,"Action, Adventure, Comedy",8.2
Rasbhari,(2019– ),18,"Drama, Romance",2.8
The Client List,(2011–2013),,"Crime, Drama",6.6
21 Jump Street,(1987–1991),,"Crime, Drama, Mystery",7.3
The Night Shift,(2014–2017),,"Drama, Romance",7.4
Meitantei Conan,(1996– ),,"Animation, Action, Adventure",8.4
Justice League Unlimited,(2004–2006),,"Animation, Action, Adventure",8.7
The Hills,(2006–2010),,"Drama, Reality-TV",3.6
Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,(2010),,"Animation, Action, Drama",7.2
The New Normal,(2012–2013),,"Comedy, Romance",6.9
Star vs. the Forces of Evil,(2015–2019),,"Animation, Action, Adventure",8.0
Undercover,(2019– ),18,"Crime, Drama, Thriller",7.9
Zoey's Extraordinary Playlist,(2020– ),16,"Comedy, Drama, Musical",8.2
Charlie's Angels,(1976–1981),,"Action, Adventure, Crime",6.5
The Bletchley Circle,(2012–2014),,"Crime, Drama, Mystery",7.9
Condor,(2018– ),,"Action, Drama, Thriller",7.7
Wings,(1990–1997),,"Comedy, Drama",7.2
Lewis,(2006–2015),,"Crime, Drama, Mystery",8.0
Dash & Lily,(2020– ),12+,"Comedy, Drama, Romance",7.5
Imposters,(2017– ),,"Comedy, Crime, Drama",7.8
Sonny with a Chance,(2009–2011),,"Comedy, Family, Romance",6.1
Atlantis,(2013–2015),,"Adventure, Drama, Fantasy",6.6
Blood of Zeus,(2020– ),18,"Animation, Action, Fantasy",7.6
"Tim and Eric Awesome Show, Great Job!",(2007–2017),,"Comedy, Music",7.5
Re: Zero kara hajimeru isekai seikatsu,(2016– ),16,"Animation, Adventure, Drama",8.1
Night Court,(1984–1992),,Comedy,7.6
On My Block,(2018– ),18,Comedy,8.0
V,(1984–1985),,"Action, Adventure, Sci-Fi",7.4
Captain Planet and the Planeteers,(1990–1996),,"Animation, Action, Adventure",6.7
The Return of Sherlock Holmes,(1986–1988),,"Crime, Drama, Mystery",8.7
Murdoch Mysteries,(2008– ),,"Crime, Drama, Mystery",8.1
Bad Education,(2012–2014),,Comedy,7.4
"Harvey Birdman, Attorney at Law",(2000–2007),,"Animation, Comedy, Sci-Fi",8.0
Code Black,(2015–2018),,Drama,8.1
The Passage,(2019),,"Action, Adventure, Drama",7.3
The Spectacular Spider-Man,(2008–2009),,"Animation, Action, Adventure",8.2
Strike,(2017– ),15+,"Crime, Drama, Mystery",7.9
Secrets and Lies,(2015–2016),,"Crime, Drama",7.6
X-Men: Evolution,(2000–2003),,"Animation, Action, Drama",7.9
The Paradise,(2012–2013),,Drama,7.7
Hand of God,(2014–2017),18,"Crime, Drama",7.5
FBI,(2018– ),16,"Action, Crime, Drama",6.8
Bicchoo Ka Khel,(2020– ),UA,"Crime, Thriller",8.7
Baccano!,(2007–2008),,"Animation, Action, Adventure",8.3
Felicity,(1998–2002),,"Drama, Romance",6.8
Aaahh!!! Real Monsters,(1994–1997),,"Animation, Family, Horror",7.2
Spinning Out,(2020),18,"Drama, Sport",7.6
Dogs of Berlin,(2018– ),18,"Action, Crime, Drama",7.6
Toradora!,(2008–2009),16,"Animation, Comedy, Drama",8.0
Workin' Moms,(2017– ),18,Comedy,7.6
The Late Late Show with Craig Ferguson,(2005–2015),,"Comedy, Music, Talk-Show",8.3
Flaked,(2016– ),,"Comedy, Drama",7.2
Ultimate Spider-Man,(2012–2017),PG,"Animation, Action, Adventure",7.1
The Catch,(2016–2017),,"Crime, Drama, Romance",7.2
Home for Christmas,(2019–2020),18,"Comedy, Drama, Romance",7.7
The Whispers,(2015),,"Drama, Horror, Mystery",7.2
Snowfall,(2017– ),18,"Crime, Drama",8.1
The Graham Norton Show,(2007– ),,"Comedy, Music, Talk-Show",8.4
In Plain Sight,(2008–2012),,"Crime, Drama, Mystery",7.3
BrainDead,(2016),,"Comedy, Drama, Horror",8.1
Mr. Bean: The Animated Series,(2002–2019),,"Animation, Comedy, Family",6.8
Duck Dynasty,(2012–2017),,"Comedy, Reality-TV",6.3
Baskets,(2016–2019),,"Comedy, Drama",7.6
George Lopez,(2002–2007),,"Comedy, Drama",6.7
CSI: Cyber,(2015–2016),,"Crime, Drama, Mystery",5.5
The Hitchhiker's Guide to the Galaxy,(1981),,"Adventure, Comedy, Sci-Fi",8.0
She-Ra and the Princesses of Power,(2018–2020),13,"Animation, Action, Adventure",7.8
Wayne,(2019),A,"Action, Comedy",8.4
Fate/Zero,(2011–2012),16,"Animation, Action, Drama",8.3
Giri/Haji,(2019),18,"Crime, Drama, Mystery",7.9
Terriers,(2010),,"Comedy, Crime, Drama",8.4
The Twilight Zone,(1985–1989),,"Drama, Fantasy, Horror",7.8
Inspector Morse,(1987–2000),,"Crime, Drama, Mystery",8.1
Utopia,(2020),16,"Action, Drama, Mystery",6.7
The League of Gentlemen,(1999–2017),,"Comedy, Horror",8.4
Popeye the Sailor,(1960–1962),,"Animation, Comedy, Family",7.1
24: Legacy,(2016–2017),,"Action, Crime, Drama",6.2
Copper,(2012–2013),,"Action, Drama",7.5
Rubicon,(2010),,"Crime, Drama, Mystery",7.9
Hellcats,(2010–2011),,"Comedy, Drama",6.7
Crossing Jordan,(2001–2007),,"Crime, Drama, Mystery",6.9
"Dr. Quinn, Medicine Woman",(1993–1998),,"Drama, Family, Western",6.7
Airwolf,(1984–1986),,"Action, Adventure, Sci-Fi",6.7
When Calls the Heart,(2014– ),13,"Drama, Romance",8.2
Containment,(2016),,Drama,7.2
Ramy,(2019– ),18,"Comedy, Drama, Romance",8.1
L'amica geniale,(2018– ),,Drama,8.6
Project Blue Book,(2019–2020),,"Drama, Mystery, Sci-Fi",7.6
Project Runway,(2004– ),,"Game-Show, Reality-TV",7.3
Garfield and Friends,(1988–1995),,"Animation, Comedy, Family",7.3
The Tonight Show with Jay Leno,(1992–2014),,"Comedy, Music, Talk-Show",5.2
Millennium,(I) (1996–1999),,"Crime, Drama, Horror",8.0
The Batman,(2004–2008),,"Animation, Action, Adventure",7.3
JoJo no kimyô-na bôken,(2012– ),18,"Animation, Action, Adventure",8.4
American Dragon: Jake Long,(2005–2007),,"Animation, Action, Comedy",6.6
Aladdin,(1994–1995),,"Animation, Action, Adventure",7.3
Big Time Rush,(2009–2013),,"Comedy, Family, Musical",6.3
Dallas,(2012–2014),,"Drama, Romance",7.1
Jane by Design,(2012),,"Comedy, Drama",7.3
Samantha Who?,(2007–2009),,"Comedy, Mystery, Romance",7.3
Wolverine and the X-Men,(2008–2009),,"Animation, Action, Adventure",8.0
Criminal Justice,(2019– ),15+,"Crime, Drama, Mystery",8.1
So You Think You Can Dance,(2005– ),,"Game-Show, Music, Reality-TV",6.8
The Frankenstein Chronicles,(2015–2017),18,"Crime, Drama, Fantasy",7.3
Celebrity Deathmatch,(1998–2007),,"Animation, Action, Comedy",6.9
Lucky Louie,(2006–2007),,Comedy,7.9
Grantchester,(2014– ),,"Crime, Drama, Mystery",7.9
A.P. Bio,(2018– ),,Comedy,7.3
Mork & Mindy,(1978–1982),,"Comedy, Family, Sci-Fi",7.2
MADtv,(1995–2016),,"Comedy, Reality-TV, Talk-Show",7.2
Outnumbered,(2007–2016),,"Comedy, Drama",8.0
The Bold Type,(2017– ),,Drama,8.0
Freud,(2020– ),18,"Biography, Crime, History",6.5
Life on Mars,(2008–2009),,"Crime, Drama, Mystery",7.4
Dave,(2020– ),15+,Comedy,8.4
Çukur,(2017– ),,"Action, Crime, Thriller",7.3
Wu Assassins,(2019– ),16+,"Action, Crime, Drama",6.4
"Yes, Prime Minister",(1986–1987),,Comedy,8.6
Red Oaks,(2014–2017),,"Comedy, Drama, Sport",7.9
Shades of Blue,(2016–2018),,"Action, Crime, Drama",7.0
The Guild,(2007–2013),,"Short, Comedy",8.2
Surface,(2005–2006),,"Adventure, Drama, Mystery",7.2
Adventures of the Gummi Bears,(1985–1991),,"Animation, Family, Fantasy",7.5
Good Behavior,(2016–2017),,"Crime, Drama, Mystery",8.1
Big Brother,(II) (2000– ),,"Game-Show, Reality-TV",5.4
Diff'rent Strokes,(1978–1986),,"Comedy, Drama, Family",6.7
Brass Eye,(1997–2001),,Comedy,8.6
Defying Gravity,(2009),,"Drama, Sci-Fi",7.3
Heartland,(II) (2007– ),16,"Drama, Family",8.4
Ano hi mita hana no namae o bokutachi wa mada shiranai.,(2011),,"Animation, Adventure, Drama",8.2
Ancient Aliens,(2009– ),,"Documentary, Fantasy, History",7.3
In Living Color,(1990–2006),,Comedy,8.1
Hostages,(2013–2014),,"Drama, Mystery, Thriller",6.7
The Wilds,(2020– ),16,"Adventure, Drama, Mystery",7.2
Hercules,(1998–1999),,"Animation, Action, Adventure",6.6
Saikojiman Gwaenchanha,(2020),13,"Comedy, Drama, Romance",8.7
The Six Million Dollar Man,(1974–1978),,"Action, Adventure, Crime",7.1
Dokutaa Sutoon,(2019– ),13,"Animation, Action, Adventure",8.2
Stargirl,(2020– ),PG,"Action, Adventure, Crime",7.3
Man Seeking Woman,(2015–2017),,"Comedy, Fantasy, Romance",7.8
The Little Drummer Girl,(2018),,"Drama, Thriller",7.4
Taken,(2017–2018),16,"Action, Drama, Thriller",6.6
The Bugs Bunny/Road Runner Hour,(1968–1978),,"Animation, Comedy",8.5
Dragons: Riders of Berk,(2012–2014),,"Animation, Action, Adventure",8.0
Jinn,(2019– ),16,"Drama, Fantasy, Horror",3.5
The Hour,(2011–2012),,Drama,8.0
Austin & Ally,(2011–2016),,"Comedy, Drama, Family",6.0
