Title,Production,Certificate,Genre(s),Rating
CSI: Crime Scene Investigation,(2000–2015),16,"Crime, Drama, Mystery",7.6
Adventure Time,(2010–2018),,"Animation, Short, Action",8.6
The King of Queens,(1998–2007),,Comedy,7.3
Charmed,(1998–2006),U,"Drama, Fantasy, Mystery",7.1
Sacred Games,(2018–2019),A,"Action, Crime, Drama",8.6
The Strain,(2014–2017),,"Drama, Fantasy, Horror",7.3
American Gods,(2017– ),A,"Drama, Fantasy, Mystery",7.8
Skins,(2007–2013),UA,Drama,8.2
Louie,(2010–2015),,"Comedy, Drama",8.5
Gravity Falls,(2012–2016),PG,"Animation, Adventure, Comedy",8.9
Frasier,(1993–2004),,Comedy,8.1
Merlin,(2008–2012),16,"Adventure, Drama, Fantasy",7.9
Star Trek,(1966–1969),7,"Action, Adventure, Sci-Fi",8.3
Agent Carter,(2015–2016),12+,"Action, Adventure, Sci-Fi",7.9
Lost in Space,(2018– ),7,"Adventure, Drama, Family",7.3
Da Vinci's Demons,(2013–2015),,"Adventure, Biography, Drama",8.0
The Shield,(2002–2008),,"Crime, Drama, Thriller",8.7
One Tree Hill,(2003–2012),13,"Drama, Romance, Sport",7.7
The Twilight Zone,(1959–1964),,"Drama, Fantasy, Horror",9.0
Naruto,(2002–2007),16,"Animation, Action, Adventure",8.3
One Piece: Wan pîsu,(1999– ),7,"Animation, Action, Adventure",8.7
Schitt's Creek,(2015–2020),18+,Comedy,8.5
Billions,(2016– ),15+,Drama,8.4
The Tudors,(2007–2010),18,"Drama, History, Romance",8.1
Dragon Ball Z: Doragon bôru zetto,(1989–1996),,"Animation, Action, Adventure",8.7
The Good Wife,(2009–2016),16,"Crime, Drama, Mystery",8.3
Burn Notice,(2007–2013),,"Action, Crime, Drama",7.9
Preacher,(2016–2019),18+,"Adventure, Drama, Fantasy",8.0
Monty Python's Flying Circus,(1969–1974),,Comedy,8.8
Paranormal,(2020– ),15+,"Drama, Fantasy, Horror",8.1
Veronica Mars,(2004–2019),,"Crime, Drama, Mystery",8.3
Scandal,(2012–2018),,"Drama, Thriller",7.7
Russian Doll,(2019– ),A,"Adventure, Comedy, Drama",7.9
Hawaii Five-0,(2010–2020),16,"Action, Crime, Drama",7.3
Titans,(I) (2018– ),A,"Action, Adventure, Crime",7.7
Blindspot,(2015–2020),16,"Action, Crime, Drama",7.4
Master of None,(2015–2017),16,"Comedy, Drama",8.3
Bob's Burgers,(2011– ),U,"Animation, Comedy",8.1
Monk,(2002–2009),,"Comedy, Crime, Drama",8.0
Girls,(2012–2017),18,"Comedy, Drama",7.3
Euphoria,(2019– ),18+,Drama,8.4
The West Wing,(1999–2006),,Drama,8.8
Marco Polo,(2014–2016),18,"Adventure, Drama, History",8.0
Ash vs Evil Dead,(2015–2018),,"Action, Comedy, Fantasy",8.4
Angel,(1999–2004),,"Action, Drama, Fantasy",7.9
Everybody Loves Raymond,(1996– ),,Comedy,7.1
The Grand Tour,(2016– ),16,"Comedy, Talk-Show",8.7
Star Wars: The Clone Wars,(2008–2020),PG,"Animation, Action, Adventure",8.3
Unbreakable Kimmy Schmidt,(2015–2019),18,Comedy,7.6
The Good Doctor,(2017– ),15+,Drama,8.2
Hagane no renkinjutsushi,(2003–2004),16,"Animation, Action, Adventure",8.5
The Outsider,(2020– ),15+,"Crime, Drama, Fantasy",7.8
Limitless,(2015–2016),18,"Comedy, Crime, Drama",7.7
Stargate: Atlantis,(2004–2009),,"Action, Adventure, Drama",8.1
Bridgerton,(2020– ),18,"Drama, Romance",7.3
Narcos: Mexico,(2018– ),18+,"Crime, Drama",8.4
Atypical,(2017–2021),18,"Comedy, Drama",8.3
iZombie,(2015–2019),18,"Comedy, Crime, Drama",7.8
Star Trek: Voyager,(1995–2001),,"Action, Adventure, Sci-Fi",7.8
The Orville,(2017– ),12+,"Adventure, Comedy, Drama",8.0
Flashforward,(2009–2010),,"Drama, Mystery, Sci-Fi",7.6
Bron/Broen,(2011–2018),,"Crime, Mystery, Thriller",8.6
Hunter x Hunter,(2011–2014),16,"Animation, Action, Adventure",8.9
