Name,Position,Club,Market Value,Age,Primary Nationality,Secondary Nationality,Matches Played,Goals,Assists,Yellow Cards,Red Cards,Substituted In,Substituted Out,Second Yellow Cards,Own Goals
Aleksandr Golovin,Attacking Midfield,AS Monaco,30000000,28,Russia,-,8,0,0,0,0,3,2,0,0
Unai Simón,Goalkeeper,Athletic Bilbao,30000000,27,Spain,-,0,0,0,0,0,0,0,0,0
Rodrigo de Paul,Central Midfield,Atlético de Madrid,30000000,30,Argentina,Italy,11,0,1,3,0,5,5,0,0
Youri Tielemans,Central Midfield,Aston Villa,30000000,27,Belgium,DR Congo,14,2,4,2,0,0,5,0,0
Andrew Robertson,Left-Back,Liverpool FC,30000000,30,Scotland,-,14,0,0,3,0,2,5,0,0
Konrad Laimer,Central Midfield,Bayern Munich,30000000,27,Austria,-,11,1,0,2,0,5,4,0,0
Andreas Christensen,Centre-Back,FC Barcelona,30000000,28,Denmark,-,1,0,0,1,0,1,0,0,0
Jonathan Tah,Centre-Back,Bayer 04 Leverkusen,30000000,28,Germany,Cote d'Ivoire,14,1,0,2,0,1,1,0,0
John McGinn,Central Midfield,Aston Villa,30000000,30,Scotland,-,9,0,1,1,0,1,5,0,0
Adrien Rabiot,Central Midfield,Olympique Marseille,30000000,29,France,-,2,0,0,1,0,2,0,0,0
Virgil van Dijk,Centre-Back,Liverpool FC,30000000,33,Netherlands,Suriname,13,1,0,2,0,0,0,1,0
Romelu Lukaku,Centre-Forward,SSC Napoli,30000000,31,Belgium,DR Congo,7,3,5,1,0,2,5,0,0
Neymar,Left Winger,Al-Hilal SFC,30000000,32,Brazil,-,0,0,0,0,0,0,0,0,0
Mateo Kovacic,Central Midfield,Manchester City,30000000,30,Croatia,-,11,3,0,3,0,1,4,0,0
Yankuba Minteh,Right Winger,Brighton & Hove Albion,28000000,20,The Gambia,-,8,1,1,2,0,2,6,0,0
Hugo Larsson,Central Midfield,Eintracht Frankfurt,28000000,20,Sweden,-,12,2,1,1,0,3,7,0,0
Danilo,Defensive Midfield,Nottingham Forest,28000000,23,Brazil,-,1,0,0,0,0,0,1,0,0
Mateo Retegui,Centre-Forward,Atalanta BC,28000000,25,Italy,Argentina,15,10,3,2,0,4,10,0,0
Georginio Rutter,Centre-Forward,Brighton & Hove Albion,28000000,22,France,Martinique,9,2,2,0,0,3,5,0,0
Josip Stanisic,Right-Back,Bayern Munich,28000000,24,Croatia,Germany,1,0,0,0,0,0,0,0,0
David Neres,Right Winger,SSC Napoli,28000000,27,Brazil,-,8,2,4,0,0,7,1,0,0
Samuele Ricci,Defensive Midfield,Torino FC,28000000,23,Italy,-,14,0,1,2,0,2,6,0,0
Orkun Kökçü,Central Midfield,SL Benfica,28000000,23,Türkiye,Netherlands,13,4,3,4,0,3,7,0,0
Angelo Stiller,Defensive Midfield,VfB Stuttgart,28000000,23,Germany,-,14,1,1,1,0,2,3,0,0
Matty Cash,Right-Back,Aston Villa,28000000,27,Poland,England,4,0,0,0,0,0,2,0,0
Nahuel Molina,Right-Back,Atlético de Madrid,28000000,26,Argentina,-,9,0,0,0,0,3,4,0,0
Vitaliy Mykolenko,Left-Back,Everton FC,28000000,25,Ukraine,-,9,0,2,0,0,0,1,0,0
Angel Gomes,Attacking Midfield,LOSC Lille,28000000,24,England,Portugal,13,1,2,1,0,2,6,1,0
Emile Smith Rowe,Attacking Midfield,Fulham FC,28000000,24,England,-,10,2,1,1,0,3,7,0,0
Yoane Wissa,Centre-Forward,Brentford FC,28000000,28,DR Congo,France,6,3,1,1,0,2,3,0,0
